--- OpenAI-ES Training Log for Bypass=True ---
Gen 168 (ES) | Pop: 64 | Time: 20.87s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 169 (ES) | Pop: 64 | Time: 20.79s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 170 (ES) | Pop: 64 | Time: 21.02s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 171 (ES) | Pop: 64 | Time: 20.97s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 172 (ES) | Pop: 64 | Time: 21.54s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 173 (ES) | Pop: 64 | Time: 21.23s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 174 (ES) | Pop: 64 | Time: 21.30s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 175 (ES) | Pop: 64 | Time: 20.89s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 176 (ES) | Pop: 64 | Time: 20.95s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 177 (ES) | Pop: 64 | Time: 21.05s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 178 (ES) | Pop: 64 | Time: 21.06s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 179 (ES) | Pop: 64 | Time: 21.00s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 180 (ES) | Pop: 64 | Time: 21.31s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 181 (ES) | Pop: 64 | Time: 20.96s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 182 (ES) | Pop: 64 | Time: 21.31s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 183 (ES) | Pop: 64 | Time: 22.06s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 184 (ES) | Pop: 64 | Time: 21.04s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 185 (ES) | Pop: 64 | Time: 21.05s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 186 (ES) | Pop: 64 | Time: 21.53s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 187 (ES) | Pop: 64 | Time: 21.09s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 188 (ES) | Pop: 64 | Time: 21.45s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 189 (ES) | Pop: 64 | Time: 21.11s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 190 (ES) | Pop: 64 | Time: 22.36s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 191 (ES) | Pop: 64 | Time: 21.45s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 192 (ES) | Pop: 64 | Time: 21.48s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 193 (ES) | Pop: 64 | Time: 21.40s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 194 (ES) | Pop: 64 | Time: 21.64s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 195 (ES) | Pop: 64 | Time: 21.34s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 196 (ES) | Pop: 64 | Time: 21.71s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 197 (ES) | Pop: 64 | Time: 21.43s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 198 (ES) | Pop: 64 | Time: 21.35s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 199 (ES) | Pop: 64 | Time: 21.36s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 200 (ES) | Pop: 64 | Time: 25.46s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 201 (ES) | Pop: 64 | Time: 25.52s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
