--- OpenAI-ES Training Log for Bypass=True ---
Gen 153 (ES) | Pop: 128 | Sigma: 0.202 | Time: 38.19s | Cur: 101.17W (S:6.25%) | Std: 38.10 | Best: 101.17W
Gen 154 (ES) | Pop: 128 | Sigma: 0.206 | Time: 36.40s | Cur: 101.17W (S:6.25%) | Std: 40.47 | Best: 101.17W
Gen 155 (ES) | Pop: 128 | Sigma: 0.210 | Time: 36.52s | Cur: 101.17W (S:5.83%) | Std: 41.49 | Best: 101.17W
Gen 156 (ES) | Pop: 128 | Sigma: 0.214 | Time: 36.44s | Cur: 101.17W (S:6.25%) | Std: 40.10 | Best: 101.17W
Gen 157 (ES) | Pop: 128 | Sigma: 0.219 | Time: 36.43s | Cur: 101.17W (S:5.83%) | Std: 44.73 | Best: 101.17W
Gen 158 (ES) | Pop: 128 | Sigma: 0.223 | Time: 34.70s | Cur: 101.17W (S:6.25%) | Std: 35.82 | Best: 101.17W
Gen 159 (ES) | Pop: 128 | Sigma: 0.227 | Time: 38.31s | Cur: 101.17W (S:6.25%) | Std: 49.98 | Best: 101.17W
Gen 160 (ES) | Pop: 128 | Sigma: 0.232 | Time: 36.97s | Cur: 101.17W (S:6.25%) | Std: 46.07 | Best: 101.17W
Gen 161 (ES) | Pop: 128 | Sigma: 0.237 | Time: 36.27s | Cur: 101.17W (S:6.25%) | Std: 41.02 | Best: 101.17W
Gen 162 (ES) | Pop: 128 | Sigma: 0.241 | Time: 37.34s | Cur: 101.17W (S:6.25%) | Std: 48.77 | Best: 101.17W
Gen 163 (ES) | Pop: 128 | Sigma: 0.246 | Time: 37.67s | Cur: 101.17W (S:5.83%) | Std: 48.40 | Best: 101.17W
Gen 164 (ES) | Pop: 128 | Sigma: 0.250 | Time: 36.67s | Cur: 101.17W (S:5.83%) | Std: 37.35 | Best: 101.17W
Gen 165 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.82s | Cur: 101.17W (S:6.25%) | Std: 48.72 | Best: 101.17W
Gen 166 (ES) | Pop: 128 | Sigma: 0.250 | Time: 37.73s | Cur: 101.17W (S:5.83%) | Std: 31.43 | Best: 101.17W
Gen 167 (ES) | Pop: 128 | Sigma: 0.250 | Time: 37.30s | Cur: 101.17W (S:6.25%) | Std: 34.12 | Best: 101.17W
Gen 168 (ES) | Pop: 128 | Sigma: 0.250 | Time: 36.47s | Cur: 101.17W (S:6.25%) | Std: 51.11 | Best: 101.17W
Gen 169 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.37s | Cur: 101.17W (S:6.25%) | Std: 39.03 | Best: 101.17W
Gen 170 (ES) | Pop: 128 | Sigma: 0.250 | Time: 36.99s | Cur: 101.17W (S:5.83%) | Std: 40.14 | Best: 101.17W
Gen 171 (ES) | Pop: 128 | Sigma: 0.250 | Time: 39.69s | Cur: 101.17W (S:5.83%) | Std: 42.72 | Best: 101.17W
Gen 172 (ES) | Pop: 128 | Sigma: 0.250 | Time: 36.26s | Cur: 101.17W (S:6.25%) | Std: 50.31 | Best: 101.17W
Gen 173 (ES) | Pop: 128 | Sigma: 0.150 | Time: 34.28s | Cur: 151.75W (S:9.17%) | Std: 62.23 | Best: 101.17W
Gen 174 (ES) | Pop: 128 | Sigma: 0.153 | Time: 30.64s | Cur: 158.98W (S:10.83%) | Std: 66.53 | Best: 101.17W
Gen 175 (ES) | Pop: 128 | Sigma: 0.156 | Time: 31.12s | Cur: 137.30W (S:8.33%) | Std: 66.12 | Best: 101.17W
Gen 176 (ES) | Pop: 128 | Sigma: 0.159 | Time: 37.03s | Cur: 130.07W (S:8.75%) | Std: 67.75 | Best: 101.17W
Gen 177 (ES) | Pop: 128 | Sigma: 0.162 | Time: 32.41s | Cur: 130.07W (S:8.75%) | Std: 53.57 | Best: 101.17W
Gen 178 (ES) | Pop: 128 | Sigma: 0.166 | Time: 36.11s | Cur: 122.85W (S:7.92%) | Std: 58.41 | Best: 101.17W
Gen 179 (ES) | Pop: 128 | Sigma: 0.169 | Time: 34.26s | Cur: 101.17W (S:6.67%) | Std: 58.21 | Best: 101.17W
Gen 180 (ES) | Pop: 128 | Sigma: 0.172 | Time: 31.56s | Cur: 115.62W (S:7.92%) | Std: 39.60 | Best: 101.17W
Gen 181 (ES) | Pop: 128 | Sigma: 0.176 | Time: 33.45s | Cur: 108.40W (S:7.08%) | Std: 47.85 | Best: 101.17W
Gen 182 (ES) | Pop: 128 | Sigma: 0.179 | Time: 34.27s | Cur: 108.40W (S:7.08%) | Std: 41.58 | Best: 101.17W
Gen 183 (ES) | Pop: 128 | Sigma: 0.183 | Time: 34.81s | Cur: 101.17W (S:6.67%) | Std: 44.86 | Best: 101.17W
